id	UnitId	等级	升级经验	生命	力量	防御	命中	闪避	暴击	抗暴
10010075	1001	75	922908	5499	948	345	1264	292	421	1264
10010076	1001	76	987689	5612	968	352	1290	298	430	1290
10010077	1001	77	1056921	5726	987	359	1316	304	439	1316
10010078	1001	78	1130906	5841	1007	366	1343	310	448	1343
10010079	1001	79	1209964	5957	1027	373	1369	316	456	1369
10010080	1001	80	1294437	6074	1047	381	1396	322	465	1396
10010081	1001	81	1384691	6193	1068	388	1424	329	475	1424
10010082	1001	82	1481116	6313	1088	396	1451	335	484	1451
10010083	1001	83	1584127	6434	1109	403	1479	341	493	1479
10010084	1001	84	1694167	6557	1130	411	1507	348	502	1507
10010085	1001	85	1811710	6680	1152	419	1536	354	512	1536
10010086	1001	86	1937258	6805	1173	427	1564	361	521	1564
10010087	1001	87	2071350	6932	1195	435	1593	368	531	1593
10010088	1001	88	2214559	7059	1217	443	1623	374	541	1623
10010089	1001	89	2367496	7188	1239	451	1652	381	551	1652
10010090	1001	90	2530813	7318	1262	459	1682	388	561	1682
10010091	1001	91	2705205	7449	1284	467	1712	395	571	1712
10010092	1001	92	2891413	7581	1307	475	1743	402	581	1743
10010093	1001	93	3090228	7715	1330	484	1773	409	591	1773
10010094	1001	94	3302491	7849	1353	492	1804	416	601	1804
10010095	1001	95	3529101	7985	1377	501	1836	424	612	1836
10010096	1001	96	3771015	8123	1400	509	1867	431	622	1867
10010097	1001	97	4029254	8261	1424	518	1899	438	633	1899
10010098	1001	98	4304906	8401	1448	527	1931	446	644	1931
10010099	1001	99	4599131	8542	1473	536	1964	453	655	1964
10010100	1001	100	4913166	8684	1497	544	1996	461	665	1996
10010101	1001	101	5248328	8828	1522	553	2029	468	676	2029
10010102	1001	102	5606021	8973	1547	563	2063	476	688	2063
10010103	1001	103	5987744	9119	1572	572	2096	484	699	2096
10010104	1001	104	6395092	9266	1598	581	2130	492	710	2130
10010105	1001	105	6829766	9414	1623	590	2164	499	721	2164
10010106	1001	106	7293579	9564	1649	600	2199	507	733	2199
10010107	1001	107	7788462	9715	1675	609	2233	515	744	2233
10010108	1001	108	8316474	9867	1701	619	2268	523	756	2268
10010109	1001	109	8879808	10020	1728	628	2304	532	768	2304
10010110	1001	110	9480804	10175	1754	638	2339	540	780	2339
10010111	1001	111	10121952	10331	1781	648	2375	548	792	2375
10010112	1001	112	10805907	10488	1808	658	2411	556	804	2411
10010113	1001	113	11535497	10646	1836	667	2447	565	816	2447
10010114	1001	114	12313737	10806	1863	677	2484	573	828	2484
10010115	1001	115	13143838	10967	1891	688	2521	582	840	2521
10010116	1001	116	14029221	11129	1919	698	2558	590	853	2558
10010117	1001	117	14973533	11292	1947	708	2596	599	865	2596
10010118	1001	118	15980657	11457	1975	718	2634	608	878	2634
10010119	1001	119	17054731	11622	2004	729	2672	617	891	2672
10010120	1001	120	18200164	11789	2033	739	2710	625	903	2710
10010121	1001	121	19421651	11958	2062	750	2749	634	916	2749
10010122	1001	122	20724197	12127	2091	760	2788	643	929	2788
10010123	1001	123	22113130	12298	2120	771	2827	652	942	2827
10010124	1001	124	23594127	12470	2150	782	2867	662	956	2867
10010125	1001	125	25173238	12643	2180	793	2906	671	969	2906
10010126	1001	126	26856902	12818	2210	804	2947	680	982	2947
10010127	1001	127	28651983	12993	2240	815	2987	689	996	2987
10010128	1001	128	30565788	13170	2271	826	3028	699	1009	3028
10010129	1001	129	32606103	13348	2301	837	3069	708	1023	3069
10010130	1001	130	34781219	13528	2332	848	3110	718	1037	3110
10010131	1001	131	37099967	13708	2364	859	3151	727	1050	3151
10010132	1001	132	39571753	13890	2395	871	3193	737	1064	3193
10010133	1001	133	42206592	14073	2426	882	3235	747	1078	3235
10010134	1001	134	45015155	14258	2458	894	3278	756	1093	3278
10010135	1001	135	48008800	14443	2490	906	3320	766	1107	3320
10010136	1001	136	51199629	14630	2522	917	3363	776	1121	3363
10010137	1001	137	54600526	14818	2555	929	3406	786	1135	3406
10010138	1001	138	58225211	15007	2587	941	3450	796	1150	3450
10010139	1001	139	62088297	15198	2620	953	3494	806	1165	3494
10010140	1001	140	66205343	15390	2653	965	3538	816	1179	3538
10010141	1001	141	70592916	15583	2687	977	3582	827	1194	3582
10010142	1001	142	75268658	15777	2720	989	3627	837	1209	3627
10010143	1001	143	80251355	15972	2754	1001	3672	847	1224	3672
10010144	1001	144	85561009	16169	2788	1014	3717	858	1239	3717
10010145	1001	145	91218916	16367	2822	1026	3763	868	1254	3763
10010146	1001	146	97247752	16566	2856	1039	3808	879	1269	3808
10010147	1001	147	103671661	16767	2891	1051	3854	889	1285	3854
10010148	1001	148	110516347	16968	2926	1064	3901	900	1300	3901
10010149	1001	149	117809177	17171	2961	1077	3947	911	1316	3947
10010150	1001	150	125579288	17375	2996	1089	3994	922	1331	3994
10010151	1001	151	133349399	17579	3031	1101	4041	933	1346	4041
10010152	1001	152	141119510	17783	3066	1113	4088	944	1361	4088
10010153	1001	153	148889621	17987	3101	1125	4135	955	1376	4135
10010154	1001	154	156659732	18191	3136	1137	4182	966	1391	4182
10010155	1001	155	164429843	18395	3171	1149	4229	977	1406	4229
10010156	1001	156	172199954	18599	3206	1161	4276	988	1421	4276
10010157	1001	157	179970065	18803	3241	1173	4323	999	1436	4323
10010158	1001	158	187740176	19007	3276	1185	4370	1010	1451	4370
10010159	1001	159	195510287	19211	3311	1197	4417	1021	1466	4417
10010160	1001	160	203280398	19415	3346	1209	4464	1032	1481	4464
10010161	1001	161	211050509	19619	3381	1221	4511	1043	1496	4511
10010162	1001	162	218820620	19823	3416	1233	4558	1054	1511	4558
10010163	1001	163	226590731	20027	3451	1245	4605	1065	1526	4605
10010164	1001	164	234360842	20231	3486	1257	4652	1076	1541	4652
10010165	1001	165	242130953	20435	3521	1269	4699	1087	1556	4699
10010166	1001	166	249901064	20639	3556	1281	4746	1098	1571	4746
10010167	1001	167	257671175	20843	3591	1293	4793	1109	1586	4793
10010168	1001	168	265441286	21047	3626	1305	4840	1120	1601	4840
10010169	1001	169	273211397	21251	3661	1317	4887	1131	1616	4887
10010170	1001	170	280981508	21455	3696	1329	4934	1142	1631	4934
10010171	1001	171	288751619	21659	3731	1341	4981	1153	1646	4981
10010172	1001	172	296521730	21863	3766	1353	5028	1164	1661	5028
10010173	1001	173	304291841	22067	3801	1365	5075	1175	1676	5075
10010174	1001	174	312061952	22271	3836	1377	5122	1186	1691	5122
10010175	1001	175	319832063	22475	3871	1389	5169	1197	1706	5169
10010176	1001	176	327602174	22679	3906	1401	5216	1208	1721	5216
10010177	1001	177	335372285	22883	3941	1413	5263	1219	1736	5263
10010178	1001	178	343142396	23087	3976	1425	5310	1230	1751	5310
10010179	1001	179	350912507	23291	4011	1437	5357	1241	1766	5357
10010180	1001	180	358682618	23495	4046	1449	5404	1252	1781	5404
10010181	1001	181	366452729	23699	4081	1461	5451	1263	1796	5451
10010182	1001	182	374222840	23903	4116	1473	5498	1274	1811	5498
10010183	1001	183	381992951	24107	4151	1485	5545	1285	1826	5545
10010184	1001	184	389763062	24311	4186	1497	5592	1296	1841	5592
10010185	1001	185	397533173	24515	4221	1509	5639	1307	1856	5639
10010186	1001	186	405303284	24719	4256	1521	5686	1318	1871	5686
10010187	1001	187	413073395	24923	4291	1533	5733	1329	1886	5733
10010188	1001	188	420843506	25127	4326	1545	5780	1340	1901	5780
10010189	1001	189	428613617	25331	4361	1557	5827	1351	1916	5827
10010190	1001	190	436383728	25535	4396	1569	5874	1362	1931	5874
10010191	1001	191	444153839	25739	4431	1581	5921	1373	1946	5921
10010192	1001	192	451923950	25943	4466	1593	5968	1384	1961	5968
10010193	1001	193	459694061	26147	4501	1605	6015	1395	1976	6015
10010194	1001	194	467464172	26351	4536	1617	6062	1406	1991	6062
10010195	1001	195	475234283	26555	4571	1629	6109	1417	2006	6109
10010196	1001	196	483004394	26759	4606	1641	6156	1428	2021	6156
10010197	1001	197	490774505	26963	4641	1653	6203	1439	2036	6203
10010198	1001	198	498544616	27167	4676	1665	6250	1450	2051	6250
10010199	1001	199	506314727	27371	4711	1677	6297	1461	2066	6297
10010200	1001	200	514084838	27575	4746	1689	6344	1472	2081	6344
10010201	1001	201	514084838	27779	4781	1701	6391	1483	2096	6391
10010202	1001	202	514084838	27983	4816	1713	6438	1494	2111	6438
10010203	1001	203	514084838	28187	4851	1725	6485	1505	2126	6485
10010204	1001	204	514084838	28391	4886	1737	6532	1516	2141	6532
10010205	1001	205	514084838	28595	4921	1749	6579	1527	2156	6579
10010206	1001	206	514084838	28799	4956	1761	6626	1538	2171	6626
10010207	1001	207	514084838	29003	4991	1773	6673	1549	2186	6673
10010208	1001	208	514084838	29207	5026	1785	6720	1560	2201	6720
10010209	1001	209	514084838	29411	5061	1797	6767	1571	2216	6767
10010210	1001	210	514084838	29615	5096	1809	6814	1582	2231	6814
10010211	1001	211	514084838	29819	5131	1821	6861	1593	2246	6861
10010212	1001	212	514084838	30023	5166	1833	6908	1604	2261	6908
10010213	1001	213	514084838	30227	5201	1845	6955	1615	2276	6955
10010214	1001	214	514084838	30431	5236	1857	7002	1626	2291	7002
10010215	1001	215	514084838	30635	5271	1869	7049	1637	2306	7049
10010216	1001	216	514084838	30839	5306	1881	7096	1648	2321	7096
10010217	1001	217	514084838	31043	5341	1893	7143	1659	2336	7143
10010218	1001	218	514084838	31247	5376	1905	7190	1670	2351	7190
10010219	1001	219	514084838	31451	5411	1917	7237	1681	2366	7237
10010220	1001	220	514084838	31655	5446	1929	7284	1692	2381	7284
10010221	1001	221	514084838	31859	5481	1941	7331	1703	2396	7331
10010222	1001	222	514084838	32063	5516	1953	7378	1714	2411	7378
10010223	1001	223	514084838	32267	5551	1965	7425	1725	2426	7425
10010224	1001	224	514084838	32471	5586	1977	7472	1736	2441	7472
10010225	1001	225	514084838	32675	5621	1989	7519	1747	2456	7519
10010226	1001	226	514084838	32879	5656	2001	7566	1758	2471	7566
10010227	1001	227	514084838	33083	5691	2013	7613	1769	2486	7613
10010228	1001	228	514084838	33287	5726	2025	7660	1780	2501	7660
10010229	1001	229	514084838	33491	5761	2037	7707	1791	2516	7707
10010230	1001	230	514084838	33695	5796	2049	7754	1802	2531	7754
10010231	1001	231	514084838	33899	5831	2061	7801	1813	2546	7801
10010232	1001	232	514084838	34103	5866	2073	7848	1824	2561	7848
10010233	1001	233	514084838	34307	5901	2085	7895	1835	2576	7895
10010234	1001	234	514084838	34511	5936	2097	7942	1846	2591	7942
10010235	1001	235	514084838	34715	5971	2109	7989	1857	2606	7989
10010236	1001	236	514084838	34919	6006	2121	8036	1868	2621	8036
10010237	1001	237	514084838	35123	6041	2133	8083	1879	2636	8083
10010238	1001	238	514084838	35327	6076	2145	8130	1890	2651	8130
10010239	1001	239	514084838	35531	6111	2157	8177	1901	2666	8177
10010240	1001	240	514084838	35735	6146	2169	8224	1912	2681	8224
10010241	1001	241	514084838	35939	6181	2181	8271	1923	2696	8271
10010242	1001	242	514084838	36143	6216	2193	8318	1934	2711	8318
10010243	1001	243	514084838	36347	6251	2205	8365	1945	2726	8365
10010244	1001	244	514084838	36551	6286	2217	8412	1956	2741	8412
10010245	1001	245	514084838	36755	6321	2229	8459	1967	2756	8459
10010246	1001	246	514084838	36959	6356	2241	8506	1978	2771	8506
10010247	1001	247	514084838	37163	6391	2253	8553	1989	2786	8553
10010248	1001	248	514084838	37367	6426	2265	8600	2000	2801	8600
10010249	1001	249	514084838	37571	6461	2277	8647	2011	2816	8647
10010250	1001	250	514084838	37775	6496	2289	8694	2022	2831	8694
10010251	1001	251	514084838	37979	6531	2301	8741	2033	2846	8741
10010252	1001	252	514084838	38183	6566	2313	8788	2044	2861	8788
10010253	1001	253	514084838	38387	6601	2325	8835	2055	2876	8835
10010254	1001	254	514084838	38591	6636	2337	8882	2066	2891	8882
10010255	1001	255	514084838	38795	6671	2349	8929	2077	2906	8929
10010256	1001	256	514084838	38999	6706	2361	8976	2088	2921	8976
10010257	1001	257	514084838	39203	6741	2373	9023	2099	2936	9023
10010258	1001	258	514084838	39407	6776	2385	9070	2110	2951	9070
10010259	1001	259	514084838	39611	6811	2397	9117	2121	2966	9117
10010260	1001	260	514084838	39815	6846	2409	9164	2132	2981	9164
10010261	1001	261	514084838	40019	6881	2421	9211	2143	2996	9211
10010262	1001	262	514084838	40223	6916	2433	9258	2154	3011	9258
10010263	1001	263	514084838	40427	6951	2445	9305	2165	3026	9305
10010264	1001	264	514084838	40631	6986	2457	9352	2176	3041	9352
10010265	1001	265	514084838	40835	7021	2469	9399	2187	3056	9399
10010266	1001	266	514084838	41039	7056	2481	9446	2198	3071	9446
10010267	1001	267	514084838	41243	7091	2493	9493	2209	3086	9493
10010268	1001	268	514084838	41447	7126	2505	9540	2220	3101	9540
10010269	1001	269	514084838	41651	7161	2517	9587	2231	3116	9587
10010270	1001	270	514084838	41855	7196	2529	9634	2242	3131	9634
10010271	1001	271	514084838	42059	7231	2541	9681	2253	3146	9681
10010272	1001	272	514084838	42263	7266	2553	9728	2264	3161	9728
10010273	1001	273	514084838	42467	7301	2565	9775	2275	3176	9775
10010274	1001	274	514084838	42671	7336	2577	9822	2286	3191	9822
10010275	1001	275	514084838	42875	7371	2589	9869	2297	3206	9869
10010276	1001	276	514084838	43079	7406	2601	9916	2308	3221	9916
10010277	1001	277	514084838	43283	7441	2613	9963	2319	3236	9963
10010278	1001	278	514084838	43487	7476	2625	10010	2330	3251	10010
10010279	1001	279	514084838	43691	7511	2637	10057	2341	3266	10057
10010280	1001	280	514084838	43895	7546	2649	10104	2352	3281	10104
10010281	1001	281	514084838	44099	7581	2661	10151	2363	3296	10151
10010282	1001	282	514084838	44303	7616	2673	10198	2374	3311	10198
10010283	1001	283	514084838	44507	7651	2685	10245	2385	3326	10245
10010284	1001	284	514084838	44711	7686	2697	10292	2396	3341	10292
10010285	1001	285	514084838	44915	7721	2709	10339	2407	3356	10339
10010286	1001	286	514084838	45119	7756	2721	10386	2418	3371	10386
10010287	1001	287	514084838	45323	7791	2733	10433	2429	3386	10433
10010288	1001	288	514084838	45527	7826	2745	10480	2440	3401	10480
10010289	1001	289	514084838	45731	7861	2757	10527	2451	3416	10527
10010290	1001	290	514084838	45935	7896	2769	10574	2462	3431	10574
10010291	1001	291	514084838	46139	7931	2781	10621	2473	3446	10621
10010292	1001	292	514084838	46343	7966	2793	10668	2484	3461	10668
10010293	1001	293	514084838	46547	8001	2805	10715	2495	3476	10715
10010294	1001	294	514084838	46751	8036	2817	10762	2506	3491	10762
10010295	1001	295	514084838	46955	8071	2829	10809	2517	3506	10809
10010296	1001	296	514084838	47159	8106	2841	10856	2528	3521	10856
10010297	1001	297	514084838	47363	8141	2853	10903	2539	3536	10903
10010298	1001	298	514084838	47567	8176	2865	10950	2550	3551	10950
10010299	1001	299	514084838	47771	8211	2877	10997	2561	3566	10997
10010300	1001	300	514084838	47975	8246	2889	11044	2572	3581	11044
10020001	1002	1	3570	605	104	38	139	32	46	139
10020002	1002	2	3910	626	108	39	144	33	48	144
10020003	1002	3	4278	648	112	41	149	34	50	149
10020004	1002	4	4677	672	116	42	154	36	51	154
10020005	1002	5	5107	696	120	44	160	37	53	160
10020006	1002	6	5573	722	125	45	166	38	55	166
10020007	1002	7	6076	749	129	47	172	40	57	172
10020008	1002	8	6620	778	134	49	179	41	60	179
10020009	1002	9	7206	807	139	51	186	43	62	186
10020010	1002	10	7840	838	145	53	193	44	64	193
10020011	1002	11	8523	870	150	55	200	46	67	200
10020012	1002	12	9261	904	156	57	208	48	69	208
10020013	1002	13	10056	938	162	59	216	50	72	216
10020014	1002	14	10913	974	168	61	224	52	75	224
10020015	1002	15	11837	1011	174	63	232	54	77	232
10020016	1002	16	12832	1049	181	66	241	56	80	241
10020017	1002	17	13904	1089	188	68	250	58	83	250
10020018	1002	18	15059	1130	195	71	260	60	87	260
10020019	1002	19	16302	1172	202	73	269	62	90	269
10020020	1002	20	17640	1215	209	76	279	64	93	279
10020021	1002	21	19080	1259	217	79	290	67	97	290
10020022	1002	22	20629	1305	225	82	300	69	100	300
10020023	1002	23	22296	1352	233	85	311	72	104	311
10020024	1002	24	24088	1400	241	88	322	74	107	322
10020025	1002	25	26015	1450	250	91	333	77	111	333
10020026	1002	26	28087	1500	259	94	345	80	115	345
10020027	1002	27	30313	1552	268	97	357	82	119	357
10020028	1002	28	32706	1605	277	101	369	85	123	369
10020029	1002	29	35276	1660	286	104	382	88	127	382
10020030	1002	30	38038	1715	296	108	394	91	131	394
10020031	1002	31	41003	1772	306	111	407	94	136	407
10020032	1002	32	44188	1830	316	115	421	97	140	421
10020033	1002	33	47607	1890	326	118	434	100	145	434
10020034	1002	34	51277	1950	336	122	448	103	149	448
10020035	1002	35	55217	2012	347	126	463	107	154	463
10020036	1002	36	59444	2075	358	130	477	110	159	477
10020037	1002	37	63980	2139	369	134	492	113	164	492
10020038	1002	38	68847	2205	380	138	507	117	169	507
10020039	1002	39	74067	2272	392	142	522	121	174	522
10020040	1002	40	79665	2340	403	147	538	124	179	538
10020041	1002	41	85669	2409	415	151	554	128	185	554
10020042	1002	42	92106	2479	427	155	570	132	190	570
10020043	1002	43	99008	2551	440	160	586	135	195	586
10020044	1002	44	106406	2624	452	165	603	139	201	603
10020045	1002	45	114335	2698	465	169	620	143	207	620
10020046	1002	46	122833	2774	478	174	638	147	213	638
10020047	1002	47	131939	2850	491	179	655	151	218	655
10020048	1002	48	141696	2928	505	184	673	155	224	673
10020049	1002	49	152148	3007	518	189	691	160	230	691
10020050	1002	50	163345	3088	532	194	710	164	237	710
10020051	1002	51	175337	3169	546	199	729	168	243	729
10020052	1002	52	188181	3252	561	204	748	173	249	748
10020053	1002	53	201934	3336	575	209	767	177	256	767
10020054	1002	54	216661	3422	590	215	787	182	262	787
10020055	1002	55	232427	3508	605	220	806	186	269	806
10020056	1002	56	249306	3596	620	225	827	191	276	827
10020057	1002	57	267373	3685	635	231	847	195	282	847
10020058	1002	58	286711	3775	651	237	868	200	289	868
10020059	1002	59	307407	3867	667	242	889	205	296	889
10020060	1002	60	329554	3959	683	248	910	210	303	910
10020061	1002	61	353253	4053	699	254	932	215	311	932
10020062	1002	62	378608	4149	715	260	954	220	318	954
10020063	1002	63	405735	4245	732	266	976	225	325	976
10020064	1002	64	434754	4343	749	272	998	230	333	998
10020065	1002	65	465794	4442	766	278	1021	236	340	1021
10020066	1002	66	498995	4542	783	285	1044	241	348	1044
10020067	1002	67	534502	4643	801	291	1067	246	356	1067
10020068	1002	68	572474	4746	818	298	1091	252	364	1091
10020069	1002	69	613078	4850	836	304	1115	257	372	1115
10020070	1002	70	656494	4955	854	311	1139	263	380	1139
10020071	1002	71	702913	5061	873	317	1164	269	388	1164
10020072	1002	72	752539	5169	891	324	1188	274	396	1188
10020073	1002	73	805589	5278	910	331	1213	280	404	1213
10020074	1002	74	862296	5388	929	338	1239	286	413	1239
10020075	1002	75	922908	5499	948	345	1264	292	421	1264
10020076	1002	76	987689	5612	968	352	1290	298	430	1290
10020077	1002	77	1056921	5726	987	359	1316	304	439	1316
10020078	1002	78	1130906	5841	1007	366	1343	310	448	1343
10020079	1002	79	1209964	5957	1027	373	1369	316	456	1369
10020080	1002	80	1294437	6074	1047	381	1396	322	465	1396
10020081	1002	81	1384691	6193	1068	388	1424	329	475	1424
10020082	1002	82	1481116	6313	1088	396	1451	335	484	1451
10020083	1002	83	1584127	6434	1109	403	1479	341	493	1479
10020084	1002	84	1694167	6557	1130	411	1507	348	502	1507
10020085	1002	85	1811710	6680	1152	419	1536	354	512	1536
10020086	1002	86	1937258	6805	1173	427	1564	361	521	1564
10020087	1002	87	2071350	6932	1195	435	1593	368	531	1593
10020088	1002	88	2214559	7059	1217	443	1623	374	541	1623
10020089	1002	89	2367496	7188	1239	451	1652	381	551	1652
10020090	1002	90	2530813	7318	1262	459	1682	388	561	1682
10020091	1002	91	2705205	7449	1284	467	1712	395	571	1712
10020092	1002	92	2891413	7581	1307	475	1743	402	581	1743
10020093	1002	93	3090228	7715	1330	484	1773	409	591	1773
10020094	1002	94	3302491	7849	1353	492	1804	416	601	1804
10020095	1002	95	3529101	7985	1377	501	1836	424	612	1836
10020096	1002	96	3771015	8123	1400	509	1867	431	622	1867
10020097	1002	97	4029254	8261	1424	518	1899	438	633	1899
10020098	1002	98	4304906	8401	1448	527	1931	446	644	1931
10020099	1002	99	4599131	8542	1473	536	1964	453	655	1964
10020100	1002	100	4913166	8684	1497	544	1996	461	665	1996
10020101	1002	101	5248328	8828	1522	553	2029	468	676	2029
10020102	1002	102	5606021	8973	1547	563	2063	476	688	2063
10020103	1002	103	5987744	9119	1572	572	2096	484	699	2096
10020104	1002	104	6395092	9266	1598	581	2130	492	710	2130
10020105	1002	105	6829766	9414	1623	590	2164	499	721	2164
10020106	1002	106	7293579	9564	1649	600	2199	507	733	2199
10020107	1002	107	7788462	9715	1675	609	2233	515	744	2233
10020108	1002	108	8316474	9867	1701	619	2268	523	756	2268
10020109	1002	109	8879808	10020	1728	628	2304	532	768	2304
10020110	1002	110	9480804	10175	1754	638	2339	540	780	2339
10020111	1002	111	10121952	10331	1781	648	2375	548	792	2375
10020112	1002	112	10805907	10488	1808	658	2411	556	804	2411
10020113	1002	113	11535497	10646	1836	667	2447	565	816	2447
10020114	1002	114	12313737	10806	1863	677	2484	573	828	2484
10020115	1002	115	13143838	10967	1891	688	2521	582	840	2521
10020116	1002	116	14029221	11129	1919	698	2558	590	853	2558
10020117	1002	117	14973533	11292	1947	708	2596	599	865	2596
10020118	1002	118	15980657	11457	1975	718	2634	608	878	2634
10020119	1002	119	17054731	11622	2004	729	2672	617	891	2672
10020120	1002	120	18200164	11789	2033	739	2710	625	903	2710
10020121	1002	121	19421651	11958	2062	750	2749	634	916	2749
10020122	1002	122	20724197	12127	2091	760	2788	643	929	2788
10020123	1002	123	22113130	12298	2120	771	2827	652	942	2827
10020124	1002	124	23594127	12470	2150	782	2867	662	956	2867
10020125	1002	125	25173238	12643	2180	793	2906	671	969	2906
10020126	1002	126	26856902	12818	2210	804	2947	680	982	2947
10020127	1002	127	28651983	12993	2240	815	2987	689	996	2987
10020128	1002	128	30565788	13170	2271	826	3028	699	1009	3028
10020129	1002	129	32606103	13348	2301	837	3069	708	1023	3069
10020130	1002	130	34781219	13528	2332	848	3110	718	1037	3110
10020131	1002	131	37099967	13708	2364	859	3151	727	1050	3151
10020132	1002	132	39571753	13890	2395	871	3193	737	1064	3193
10020133	1002	133	42206592	14073	2426	882	3235	747	1078	3235
10020134	1002	134	45015155	14258	2458	894	3278	756	1093	3278
10020135	1002	135	48008800	14443	2490	906	3320	766	1107	3320
10020136	1002	136	51199629	14630	2522	917	3363	776	1121	3363
10020137	1002	137	54600526	14818	2555	929	3406	786	1135	3406
10020138	1002	138	58225211	15007	2587	941	3450	796	1150	3450
10020139	1002	139	62088297	15198	2620	953	3494	806	1165	3494
10020140	1002	140	66205343	15390	2653	965	3538	816	1179	3538
10020141	1002	141	70592916	15583	2687	977	3582	827	1194	3582
10020142	1002	142	75268658	15777	2720	989	3627	837	1209	3627
10020143	1002	143	80251355	15972	2754	1001	3672	847	1224	3672
10020144	1002	144	85561009	16169	2788	1014	3717	858	1239	3717
10020145	1002	145	91218916	16367	2822	1026	3763	868	1254	3763
10020146	1002	146	97247752	16566	2856	1039	3808	879	1269	3808
10020147	1002	147	103671661	16767	2891	1051	3854	889	1285	3854
10020148	1002	148	110516347	16968	2926	1064	3901	900	1300	3901
10020149	1002	149	117809177	17171	2961	1077	3947	911	1316	3947
